Device Name,Port,Description,PID,VID,SN,Operational_State
ARG55a1-1,HundredGigE0/0/0/17,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2210N1LB,UP/UP
ARG55a1-1,HundredGigE0/0/0/18,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2319N1XA,UP/UP
ARG55a1-1,FortyGigE0/0/0/24,Cisco QSFP+ 40G SR4 Pluggable Optics Module,QSFP-40G-SR4,V02,AVP1951S0CQ,DOWN/DOWN
ARG55a1-1,HundredGigE0/0/0/26,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2319N1Z6,DOWN/DOWN
ARG55a1-1,HundredGigE0/0/0/30,Cisco QSFP28 100G FR Pluggable Optics Module,QSFP-100G-FR-S,V02,FBN2628A03Q,DOWN/DOWN
ARG55a1-1,HundredGigE0/0/0/31,Cisco QSFP28 100G FR Pluggable Optics Module,QSFP-100G-FR-S,V02,FBN2627A03J,DOWN/DOWN
ARG55a1-1,HundredGigE0/0/0/32,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V02,AVF2212S0PG,UP/UP
ARG55a1-2,HundredGigE0/0/0/0,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V03,AVF2302S1JG,UP/UP
ARG55a1-2,HundredGigE0/0/0/2,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V03,FTF2512N9F5,DOWN/DOWN
ARG55a1-2,HundredGigE0/0/0/3,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V03,FTF2512N9FD,DOWN/DOWN
ARG55a1-2,HundredGigE0/0/0/5,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2208N1NS,DOWN/DOWN
ARG55a1-2,HundredGigE0/0/0/6,Cisco QSFP28 100G SR4 Pluggable Optics Module,QSFP-100G-SR4-S,V02,AVF2140S38A,DOWN/DOWN
ARG55a1-2,HundredGigE0/0/0/9,Cisco QSFP28 100G FR Pluggable Optics Module,QSFP-100G-FR-S,V02,FBN2628A0MB,DOWN/DOWN
ARG55a1-2,HundredGigE0/0/0/10,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW230400GP-A,UP/UP
ARG55a1-2,HundredGigE0/0/0/11,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW214401BZ-B,UP/UP
ARG55a1-2,HundredGigE0/0/0/13,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW2144022U-A,DOWN/DOWN
ARG55a1-2,HundredGigE0/0/0/14,Cisco QSFP28 100G AOC Pluggable Optics Module,QSFP-100G-AOC10M,V02,FIW21440194-B,DOWN/DOWN
ARG55a1-2,HundredGigE0/0/0/15,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2319N03Y,UP/UP
ARG55a1-2,HundredGigE0/0/0/16,Cisco QSFP28 100G SR BD Pluggable Optics Module,QSFP-40/100-SRBD,V01,FOF2210N1KF,UP/UP
