Device Name,Port,Description,PID,VID,SN
DRE-9364-1,Ethernet1/24/4,CISCO,QSFP-40G-SR4,N/A,AVP1810S2UG
DRE-9364-1,Ethernet1/27,CISCO-INNOLIGHT,QSFP-100G-SR4-S,N/A,INP282801FV
DRE-9364-1,Ethernet1/28/1,CISCO,QSFP-40G-SR4,N/A,AVP1706S055
DRE-9364-1,Ethernet1/28/2,CISCO,QSFP-40G-SR4,N/A,AVP1706S055
DRE-9364-1,Ethernet1/28/3,CISCO,QSFP-40G-SR4,N/A,AVP1706S055
DRE-9364-1,Ethernet1/28/4,CISCO,QSFP-40G-SR4,N/A,AVP1706S055
DRE-9364-1,Ethernet1/29,CISCO-INNOLIGHT,QSFP-100G-SR4-S,N/A,INL23351393
DRE-9364-1,Ethernet1/30,CISCO-INNOLIGHT,QSFP-100G-SR4-S,N/A,INL23351407
DRE-9364-1,Ethernet1/31,CISCO-INNOLIGHT,QSFP-100G-SR4-S,N/A,INL23351386
DRE-9364-1,Ethernet1/32,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2221S1T9
DRE-9364-1,Ethernet1/37,CISCO-FINISAR,QSFP-100G-AOC10M,N/A,FIW214401Z7-B
DRE-9364-1,Ethernet1/38,CISCO-FINISAR,QSFP-100G-AOC10M,N/A,FIW214401EQ-A
DRE-9364-1,Ethernet1/40,CISCO-FINISAR,QSFP-100G-AOC10M,N/A,FIW214401Y2-B
DRE-9364-1,Ethernet1/41,CISCO-FOIT,QSFP-40/100-SRBD,N/A,FOF2319N3Z3
DRE-9364-1,Ethernet1/42,CISCO-FOIT,QSFP-40/100-SRBD,N/A,FOF2306N114
DRE-9364-1,Ethernet1/44,CISCO-CIG,QDD-400G-FR4-S,N/A,CGC26250614
DRE-9364-1,Ethernet1/45,CISCO-FINISAR,QSFP-40G-SR4,N/A,FIW231302HJ
DRE-9364-1,Ethernet1/46,CISCO,QSFP-40G-SR4,N/A,AVP1731S0FN
DRE-9364-1,Ethernet1/48/1,CISCO,QSFP-40G-SR4,N/A,FIW192901TE
DRE-9364-1,Ethernet1/48/2,CISCO,QSFP-40G-SR4,N/A,FIW192901TE
DRE-9364-1,Ethernet1/48/3,CISCO,QSFP-40G-SR4,N/A,FIW192901TE
DRE-9364-1,Ethernet1/48/4,CISCO,QSFP-40G-SR4,N/A,FIW192901TE
DRE-9364-1,Ethernet1/52,CISCO-FINISAR,QSFP-100G-AOC2M,N/A,FIW204203GA-B
DRE-9364-1,Ethernet1/54,CISCO-FINISAR,QSFP-100G-AOC10M,N/A,FIW214401DD-B
DRE-9364-1,Ethernet1/63,CISCO-AVAGO,SFP-10G-SR,N/A,AGA16234B9Z
DRE-9364-1,Ethernet1/64,CISCO-AVAGO,SFP-10G-SR,N/A,AGA16384836
DRE-9364-1,Ethernet1/65,CISCO-JDSU,SFP-10G-SR,N/A,JUR1925G6ED
DRE-9364-1,Ethernet1/66,CISCO-JDSU,SFP-10G-SR,N/A,JUR1929GUQV
N3264-1-CRE-DSC,"""Chassis""","""Nexus3000 C3264C Chassis""",N3K-C3264C-E,N/A,FOC233195NS
N3264-1-CRE-DSC,"""Slot 1""","""64x100G QSFP28 + 2x10G SFP+ Ethernet Module""",N3K-C3264C-E,N/A,FOC233195NS
N3264-1-CRE-DSC,"""Power Supply 1""","""Nexus3000 C3264C Chassis Power Supply""",NXA-PAC-1200W-PI,N/A,LIT21484X7J
N3264-1-CRE-DSC,"""Power Supply 2""","""Nexus3000 C3264C Chassis Power Supply""",NXA-PAC-1200W-PI,N/A,LIT22143NTY
N3264-1-CRE-DSC,"""Fan 1""","""Nexus3000 C3264C Chassis Fan Module""",NXA-FAN-160CFM-PI,N/A,N/A
N3264-1-CRE-DSC,"""Fan 2""","""Nexus3000 C3264C Chassis Fan Module""",NXA-FAN-160CFM-PI,N/A,N/A
N3264-1-CRE-DSC,"""Fan 3""","""Nexus3000 C3264C Chassis Fan Module""",NXA-FAN-160CFM-PI,N/A,N/A
N3264-1-CRE-DSC,Ethernet1/1,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2042G0S5
N3264-1-CRE-DSC,Ethernet1/2,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2240S109
N3264-1-CRE-DSC,Ethernet1/3,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2221S1S3
N3264-1-CRE-DSC,Ethernet1/4,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2102G0YJ
N3264-1-CRE-DSC,Ethernet1/5,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2142S4BC
N3264-1-CRE-DSC,Ethernet1/6,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2225S1TM
N3264-1-CRE-DSC,Ethernet1/7,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2221S1SS
N3264-1-CRE-DSC,Ethernet1/8,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2102G08K
N3264-1-CRE-DSC,Ethernet1/9,CISCO-INNOLIGHT,QSFP-100G-SR4-S,N/A,INL23351537
N3264-1-CRE-DSC,Ethernet1/10,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2141S4C6
N3264-1-CRE-DSC,Ethernet1/11,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2124G1SA
N3264-1-CRE-DSC,Ethernet1/13,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2218S0R1
N3264-1-CRE-DSC,Ethernet1/15,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2220S169
N3264-1-CRE-DSC,Ethernet1/22,CISCO-AVAGO,QSFP-100G-SR4-S,N/A,AVF2229S27H
N3264-1-CRE-DSC,Ethernet1/23,CISCO-FINISAR,QSFP-100G-AOC5M,N/A,FIW2023052S-A
